' '         = 00
MUS_RG_VICTORY_GYM_LEADER      = AC 00
MUS_RG_VERMILLION              = AD 00
MUS_RG_PEWTER                  = AE 00
MUS_RG_ENCOUNTER_RIVAL         = AF 00
MUS_RG_RIVAL_EXIT              = B0 00
MUS_RG_DEX_RATING              = B1 00
MUS_RG_OBTAIN_KEY_ITEM         = B2 00
MUS_RG_CAUGHT_INTRO            = B3 00
MUS_RG_PHOTO                   = B4 00
MUS_RG_GAME_FREAK              = B5 00
MUS_RG_CAUGHT                  = B6 00
MUS_RG_NEW_GAME_INSTRUCT       = B7 00
MUS_RG_NEW_GAME_INTRO          = B8 00
MUS_RG_NEW_GAME_EXIT           = B9 00
MUS_RG_POKE_JUMP               = BA 00
MUS_RG_UNION_ROOM              = BB 00
MUS_RG_NET_CENTER              = BC 00
MUS_RG_MYSTERY_GIFT            = BD 00
MUS_RG_BERRY_PICK              = BE 00
MUS_RG_SEVII_CAVE              = BF 00
MUS_RG_TEACHY_TV_SHOW          = C0 00
MUS_RG_SEVII_ROUTE             = C1 00
MUS_RG_SEVII_DUNGEON           = C2 00
MUS_RG_SEVII_123               = C3 00
MUS_RG_SEVII_45                = C4 00
MUS_RG_SEVII_67                = C5 00
MUS_RG_POKE_FLUTE              = C6 00
MUS_RG_VS_DEOXYS               = C7 00
MUS_RG_VS_MEWTWO               = C8 00
MUS_RG_VS_LEGEND               = C9 00
MUS_RG_ENCOUNTER_GYM_LEADER    = CA 00
MUS_RG_ENCOUNTER_DEOXYS        = CB 00
MUS_RG_TRAINER_TOWER           = CC 00
MUS_RG_SLOW_PALLET             = CD 00
MUS_RG_TEACHY_TV_MENU          = CE 00
MUS_ABNORMAL_WEATHER           = CF 00
MUS_B_FRONTIER                 = D0 00
MUS_B_ARENA                    = D1 00
MUS_OBTAIN_B_POINTS            = D2 00
MUS_REGISTER_MATCH_CALL        = D3 00
MUS_B_PYRAMID                  = D4 00
MUS_B_PYRAMID_TOP              = D5 00
MUS_B_PALACE                   = D6 00
MUS_RAYQUAZA_APPEARS           = D7 00
MUS_B_TOWER                    = D8 00
MUS_OBTAIN_SYMBOL              = D9 00
MUS_B_DOME                     = DA 00
MUS_B_PIKE                     = DB 00
MUS_B_FACTORY                  = DC 00
MUS_VS_RAYQUAZA                = DD 00
MUS_VS_FRONTIER_BRAIN          = DE 00
MUS_VS_MEW                     = DF 00
MUS_B_DOME_LOBBY               = E0 00
MUS_DP_TWINLEAF_DAY            = E1 00
MUS_DP_SANDGEM_DAY             = E2 00
MUS_DP_FLOAROMA_DAY            = E3 00
MUS_DP_SOLACEON_DAY            = E4 00
MUS_DP_ROUTE225_DAY            = E5 00
MUS_DP_VALOR_LAKEFRONT_DAY     = E6 00
MUS_DP_JUBILIFE_DAY            = E7 00
MUS_DP_CANALAVE_DAY            = E8 00
MUS_DP_OREBURGH_DAY            = E9 00
MUS_DP_ETERNA_DAY              = EA 00
MUS_DP_HEARTHOME_DAY           = EB 00
MUS_DP_VEILSTONE_DAY           = EC 00
MUS_DP_SUNYSHORE_DAY           = ED 00
MUS_DP_SNOWPOINT_DAY           = EE 00
MUS_DP_POKEMON_LEAGUE_DAY      = EF 00
MUS_DP_FIGHT_AREA_DAY          = F0 00
MUS_DP_ROUTE201_DAY            = F1 00
MUS_DP_ROUTE203_DAY            = F2 00
MUS_DP_ROUTE205_DAY            = F3 00
MUS_DP_ROUTE206_DAY            = F4 00
MUS_DP_ROUTE209_DAY            = F5 00
MUS_DP_ROUTE210_DAY            = F6 00
MUS_DP_ROUTE216_DAY            = F7 00
MUS_DP_ROUTE228_DAY            = F8 00
MUS_DP_ROWAN                   = F9 00
MUS_DP_TV_BROADCAST            = FA 00
MUS_DP_TWINLEAF_NIGHT          = FB 00
MUS_DP_SANDGEM_NIGHT           = FC 00
MUS_DP_FLOAROMA_NIGHT          = FD 00
MUS_DP_SOLACEON_NIGHT          = FE 00
MUS_DP_ROUTE225_NIGHT          = FF 00
MUS_DP_VALOR_LAKEFRONT_NIGHT   = 00 00
MUS_DP_JUBILIFE_NIGHT          = 01 00
MUS_DP_CANALAVE_NIGHT          = 02 00
MUS_DP_OREBURGH_NIGHT          = 03 00
MUS_DP_ETERNA_NIGHT            = 04 00
MUS_DP_HEARTHOME_NIGHT         = 05 00
MUS_DP_VEILSTONE_NIGHT         = 06 00
MUS_DP_SUNYSHORE_NIGHT         = 07 00
MUS_DP_SNOWPOINT_NIGHT         = 08 00
MUS_DP_POKEMON_LEAGUE_NIGHT    = 09 00
MUS_DP_FIGHT_AREA_NIGHT        = 0A 00
MUS_DP_ROUTE201_NIGHT          = 0B 00
MUS_DP_ROUTE203_NIGHT          = 0C 00
MUS_DP_ROUTE205_NIGHT          = 0D 00
MUS_DP_ROUTE206_NIGHT          = 0E 00
MUS_DP_ROUTE209_NIGHT          = 0F 00
MUS_DP_ROUTE210_NIGHT          = 10 00
MUS_DP_ROUTE216_NIGHT          = 11 00
MUS_DP_ROUTE228_NIGHT          = 12 00
MUS_DP_UNDERGROUND             = 13 00
MUS_DP_FLAG_CAPTURED           = 14 00
MUS_DP_VICTORY_ROAD            = 15 00
MUS_DP_ETERNA_FOREST           = 16 00
MUS_DP_OLD_CHATEAU             = 17 00
MUS_DP_LAKE_CAVERNS            = 18 00
MUS_DP_AMITY_SQUARE            = 19 00
MUS_DP_GALACTIC_HQ             = 1A 00
MUS_DP_GALACTIC_ETERNA_BUILDING = 1B 00
MUS_DP_GREAT_MARSH             = 1C 00
MUS_DP_LAKE                    = 1D 00
MUS_DP_MT_CORONET              = 1E 00
MUS_DP_SPEAR_PILLAR            = 1F 00
MUS_DP_STARK_MOUNTAIN          = 20 00
MUS_DP_OREBURGH_GATE           = 21 00
MUS_DP_OREBURGH_MINE           = 22 00
MUS_DP_INSIDE_POKEMON_LEAGUE   = 23 00
MUS_DP_HALL_OF_FAME_ROOM       = 24 00
MUS_DP_POKE_CENTER_DAY         = 25 00
MUS_DP_POKE_CENTER_NIGHT       = 26 00
MUS_DP_GYM                     = 27 00
MUS_DP_ROWAN_LAB               = 28 00
MUS_DP_CONTEST_LOBBY           = 29 00
MUS_DP_POKE_MART               = 2A 00
MUS_DP_GAME_CORNER             = 2B 00
MUS_DP_B_TOWER                 = 2C 00
MUS_DP_TV_STATION              = 2D 00
MUS_DP_GALACTIC_HQ_BASEMENT    = 2E 00
MUS_DP_AZURE_FLUTE             = 2F 00
MUS_DP_HALL_OF_ORIGIN          = 30 00
MUS_DP_GTS                     = 31 00
MUS_DP_ENCOUNTER_BOY           = 32 00
MUS_DP_ENCOUNTER_TWINS         = 33 00
MUS_DP_ENCOUNTER_INTENSE       = 34 00
MUS_DP_ENCOUNTER_GALACTIC      = 35 00
MUS_DP_ENCOUNTER_LADY          = 36 00
MUS_DP_ENCOUNTER_HIKER         = 37 00
MUS_DP_ENCOUNTER_RICH          = 38 00
MUS_DP_ENCOUNTER_SAILOR        = 39 00
MUS_DP_ENCOUNTER_SUSPICIOUS    = 3A 00
MUS_DP_ENCOUNTER_ACE_TRAINER   = 3B 00
MUS_DP_ENCOUNTER_GIRL          = 3C 00
MUS_DP_ENCOUNTER_CYCLIST       = 3D 00
MUS_DP_ENCOUNTER_ARTIST        = 3E 00
MUS_DP_ENCOUNTER_ELITE_FOUR    = 3F 00
MUS_DP_ENCOUNTER_CHAMPION      = 40 00
MUS_DP_VS_WILD                 = 41 00
MUS_DP_VS_GYM_LEADER           = 42 00
MUS_DP_VS_UXIE_MESPRIT_AZELF   = 43 00
MUS_DP_VS_TRAINER              = 44 00
MUS_DP_VS_GALACTIC_BOSS        = 45 00
MUS_DP_VS_DIALGA_PALKIA        = 46 00
MUS_DP_VS_CHAMPION             = 47 00
MUS_DP_VS_GALACTIC             = 48 00
MUS_DP_VS_RIVAL                = 49 00
MUS_DP_VS_ARCEUS               = 4A 00
MUS_DP_VS_LEGEND               = 4B 00
MUS_DP_VICTORY_WILD            = 4C 00
MUS_DP_VICTORY_TRAINER         = 4D 00
MUS_DP_VICTORY_GYM_LEADER      = 4E 00
MUS_DP_VICTORY_CHAMPION        = 4F 00
MUS_DP_VICTORY_GALACTIC        = 50 00
MUS_DP_VICTORY_ELITE_FOUR      = 51 00
MUS_DP_VS_GALACTIC_COMMANDER   = 52 00
MUS_DP_CONTEST                 = 53 00
MUS_DP_VS_ELITE_FOUR           = 54 00
MUS_DP_FOLLOW_ME               = 55 00
MUS_DP_RIVAL                   = 56 00
MUS_DP_LAKE_EVENT              = 57 00
MUS_DP_EVOLUTION               = 58 00
MUS_DP_LUCAS                   = 59 00
MUS_DP_DAWN                    = 5A 00
MUS_DP_LEGEND_APPEARS          = 5B 00
MUS_DP_CATASTROPHE             = 5C 00
MUS_DP_POKE_RADAR              = 5D 00
MUS_DP_SURF                    = 5E 00
MUS_DP_CYCLING                 = 5F 00
MUS_DP_LETS_GO_TOGETHER        = 60 00
MUS_DP_TV_END                  = 61 00
MUS_DP_LEVEL_UP                = 62 00
MUS_DP_EVOLVED                 = 63 00
MUS_DP_OBTAIN_KEY_ITEM         = 64 00
MUS_DP_OBTAIN_ITEM             = 65 00
MUS_DP_CAUGHT_INTRO            = 66 00
MUS_DP_DEX_RATING              = 67 00
MUS_DP_OBTAIN_BADGE            = 68 00
MUS_DP_POKETCH                 = 69 00
MUS_DP_OBTAIN_TMHM             = 6A 00
MUS_DP_OBTAIN_ACCESSORY        = 6B 00
MUS_DP_MOVE_DELETED            = 6C 00
MUS_DP_HEAL                    = 6D 00
MUS_DP_OBTAIN_BERRY            = 6E 00
MUS_DP_CONTEST_DRESS_UP        = 6F 00
MUS_DP_HALL_OF_FAME            = 70 00
MUS_DP_INTRO                   = 71 00
MUS_DP_TITLE                   = 72 00
MUS_DP_MYSTERY_GIFT            = 73 00
MUS_DP_WFC                     = 74 00
MUS_DP_DANCE_EASY              = 75 00
MUS_DP_DANCE_DIFFICULT         = 76 00
MUS_DP_CONTEST_RESULTS         = 77 00
MUS_DP_CONTEST_WINNER          = 78 00
MUS_DP_POFFINS                 = 79 00
MUS_DP_SLOTS_WIN               = 7A 00
MUS_DP_SLOTS_JACKPOT           = 7B 00
MUS_DP_CREDITS                 = 7C 00
MUS_DP_SLOTS_UNUSED            = 7D 00
MUS_PL_FIGHT_AREA_DAY          = 7E 00
MUS_PL_TV_BROADCAST            = 7F 00
MUS_PL_TV_END                  = 80 00
MUS_PL_INTRO                   = 81 00
MUS_PL_TITLE                   = 82 00
MUS_PL_DISTORTION_WORLD        = 83 00
MUS_PL_B_ARCADE                = 84 00
MUS_PL_B_HALL                  = 85 00
MUS_PL_B_CASTLE                = 86 00
MUS_PL_B_FACTORY               = 87 00
MUS_PL_GLOBAL_TERMINAL         = 88 00
MUS_PL_LILYCOVE_BOSSA_NOVA     = 89 00
MUS_PL_LOOKER                  = 8A 00
MUS_PL_VS_GIRATINA             = 8B 00
MUS_PL_VS_FRONTIER_BRAIN       = 8C 00
MUS_PL_VICTORY_FRONTIER_BRAIN  = 8D 00
MUS_PL_VS_REGI                 = 8E 00
MUS_PL_CONTEST_COOL            = 8F 00
MUS_PL_CONTEST_SMART           = 90 00
MUS_PL_CONTEST_CUTE            = 91 00
MUS_PL_CONTEST_TOUGH           = 92 00
MUS_PL_CONTEST_BEAUTY          = 93 00
MUS_PL_SPIN_TRADE              = 94 00
MUS_PL_WIFI_MINIGAMES          = 95 00
MUS_PL_WIFI_PLAZA              = 96 00
MUS_PL_WIFI_PARADE             = 97 00
MUS_PL_GIRATINA_APPEARS_1      = 98 00
MUS_PL_GIRATINA_APPEARS_2      = 99 00
MUS_PL_MYSTERY_GIFT            = 9A 00
MUS_PL_TWINLEAF_MUSIC_BOX      = 9B 00
MUS_PL_OBTAIN_ARCADE_POINTS    = 9C 00
MUS_PL_OBTAIN_CASTLE_POINTS    = 9D 00
MUS_PL_OBTAIN_B_POINTS         = 9E 00
MUS_PL_WIN_MINIGAME            = 9F 00
MUS_HG_INTRO                   = A0 00
MUS_HG_TITLE                   = A1 00
MUS_HG_NEW_GAME                = A2 00
MUS_HG_EVOLUTION               = A3 00
MUS_HG_EVOLUTION_NO_INTRO      = A4 00
MUS_HG_CYCLING                 = A5 00
MUS_HG_SURF                    = A6 00
MUS_HG_E_DENDOURIRI            = A7 00
MUS_HG_CREDITS                 = A8 00
MUS_HG_END                     = A9 00
MUS_HG_NEW_BARK                = AA 00
MUS_HG_CHERRYGROVE             = AB 00
MUS_HG_VIOLET                  = AC 00
MUS_HG_AZALEA                  = AD 00
MUS_HG_GOLDENROD               = AE 00
MUS_HG_ECRUTEAK                = AF 00
MUS_HG_CIANWOOD                = B0 00
MUS_HG_ROUTE29                 = B1 00
MUS_HG_ROUTE30                 = B2 00
MUS_HG_ROUTE34                 = B3 00
MUS_HG_ROUTE38                 = B4 00
MUS_HG_ROUTE42                 = B5 00
MUS_HG_VERMILION               = B6 00
MUS_HG_PEWTER                  = B7 00
MUS_HG_CERULEAN                = B8 00
MUS_HG_LAVENDER                = B9 00
MUS_HG_CELADON                 = BA 00
MUS_HG_PALLET                  = BB 00
MUS_HG_CINNABAR                = BC 00
MUS_HG_ROUTE1                  = BD 00
MUS_HG_ROUTE3                  = BE 00
MUS_HG_ROUTE11                 = BF 00
MUS_HG_ROUTE24                 = C0 00
MUS_HG_ROUTE26                 = C1 00
MUS_HG_POKE_CENTER             = C2 00
MUS_HG_POKE_MART               = C3 00
MUS_HG_GYM                     = C4 00
MUS_HG_ELM_LAB                 = C5 00
MUS_HG_OAK                     = C6 00
MUS_HG_DANCE_THEATER           = C7 00
MUS_HG_GAME_CORNER             = C8 00
MUS_HG_B_TOWER                 = C9 00
MUS_HG_B_TOWER_RECEPTION       = CA 00
MUS_HG_SPROUT_TOWER            = CB 00
MUS_HG_UNION_CAVE              = CC 00
MUS_HG_RUINS_OF_ALPH           = CD 00
MUS_HG_NATIONAL_PARK           = CE 00
MUS_HG_BURNED_TOWER            = CF 00
MUS_HG_BELL_TOWER              = D0 00
MUS_HG_LIGHTHOUSE              = D1 00
MUS_HG_TEAM_ROCKET_HQ          = D2 00
MUS_HG_ICE_PATH                = D3 00
MUS_HG_DRAGONS_DEN             = D4 00
MUS_HG_ROCK_TUNNEL             = D5 00
MUS_HG_VIRIDIAN_FOREST         = D6 00
MUS_HG_VICTORY_ROAD            = D7 00
MUS_HG_POKEMON_LEAGUE          = D8 00
MUS_HG_FOLLOW_ME_1             = D9 00
MUS_HG_FOLLOW_ME_2             = DA 00
MUS_HG_ENCOUNTER_RIVAL         = DB 00
MUS_HG_RIVAL_EXIT              = DC 00
MUS_HG_BUG_CONTEST_PREP        = DD 00
MUS_HG_BUG_CATCHING_CONTEST    = DE 00
MUS_HG_RADIO_ROCKET            = DF 00
MUS_HG_ROCKET_TAKEOVER         = E0 00
MUS_HG_MAGNET_TRAIN            = E1 00
MUS_HG_SS_AQUA                 = E2 00
MUS_HG_MT_MOON_SQUARE          = E3 00
MUS_HG_RADIO_JINGLE            = E4 00
MUS_HG_RADIO_LULLABY           = E5 00
MUS_HG_RADIO_MARCH             = E6 00
MUS_HG_RADIO_UNOWN             = E7 00
MUS_HG_RADIO_POKE_FLUTE        = E8 00
MUS_HG_RADIO_OAK               = E9 00
MUS_HG_RADIO_BUENA             = EA 00
MUS_HG_EUSINE                  = EB 00
MUS_HG_CLAIR                   = EC 00
MUS_HG_ENCOUNTER_GIRL_1        = ED 00
MUS_HG_ENCOUNTER_BOY_1         = EE 00
MUS_HG_ENCOUNTER_SUSPICIOUS_1  = EF 00
MUS_HG_ENCOUNTER_SAGE          = F0 00
MUS_HG_ENCOUNTER_KIMONO_GIRL   = F1 00
MUS_HG_ENCOUNTER_ROCKET        = F2 00
MUS_HG_ENCOUNTER_GIRL_2        = F3 00
MUS_HG_ENCOUNTER_BOY_2         = F4 00
MUS_HG_ENCOUNTER_SUSPICIOUS_2  = F5 00
MUS_HG_VS_WILD                 = F6 00
MUS_HG_VS_TRAINER              = F7 00
MUS_HG_VS_GYM_LEADER           = F8 00
MUS_HG_VS_RIVAL                = F9 00
MUS_HG_VS_ROCKET               = FA 00
MUS_HG_VS_SUICUNE              = FB 00
MUS_HG_VS_ENTEI                = FC 00
MUS_HG_VS_RAIKOU               = FD 00
MUS_HG_VS_CHAMPION             = FE 00
MUS_HG_VS_WILD_KANTO           = FF 00
MUS_HG_VS_TRAINER_KANTO        = 00 00
MUS_HG_VS_GYM_LEADER_KANTO     = 01 00
MUS_HG_VICTORY_TRAINER         = 02 00
MUS_HG_VICTORY_WILD            = 03 00
MUS_HG_CAUGHT                  = 04 00
MUS_HG_VICTORY_GYM_LEADER      = 05 00
MUS_HG_VS_HO_OH                = 06 00
MUS_HG_VS_LUGIA                = 07 00
MUS_HG_POKEATHLON_LOBBY        = 08 00
MUS_HG_POKEATHLON_START        = 09 00
MUS_HG_POKEATHLON_BEFORE       = 0A 00
MUS_HG_POKEATHLON_EVENT        = 0B 00
MUS_HG_POKEATHLON_FINALS       = 0C 00
MUS_HG_POKEATHLON_RESULTS      = 0D 00
MUS_HG_POKEATHLON_END          = 0E 00
MUS_HG_POKEATHLON_WINNER       = 0F 00
MUS_HG_B_FACTORY               = 10 00
MUS_HG_B_HALL                  = 11 00
MUS_HG_B_ARCADE                = 12 00
MUS_HG_B_CASTLE                = 13 00
MUS_HG_VS_FRONTIER_BRAIN       = 14 00
MUS_HG_VICTORY_FRONTIER_BRAIN  = 15 00
MUS_HG_WFC                     = 16 00
MUS_HG_MYSTERY_GIFT            = 17 00
MUS_HG_WIFI_PLAZA              = 18 00
MUS_HG_WIFI_MINIGAMES          = 19 00
MUS_HG_WIFI_PARADE             = 1A 00
MUS_HG_GLOBAL_TERMINAL         = 1B 00
MUS_HG_SPIN_TRADE              = 1C 00
MUS_HG_GTS                     = 1D 00
MUS_HG_ROUTE47                 = 1E 00
MUS_HG_SAFARI_ZONE_GATE        = 1F 00
MUS_HG_SAFARI_ZONE             = 20 00
MUS_HG_ETHAN                   = 21 00
MUS_HG_LYRA                    = 22 00
MUS_HG_GAME_CORNER_WIN         = 23 00
MUS_HG_KIMONO_GIRL_DANCE       = 24 00
MUS_HG_KIMONO_GIRL             = 25 00
MUS_HG_HO_OH_APPEARS           = 26 00
MUS_HG_LUGIA_APPEARS           = 27 00
MUS_HG_SPIKY_EARED_PICHU       = 28 00
MUS_HG_SINJOU_RUINS            = 29 00
MUS_HG_RADIO_ROUTE101          = 2A 00
MUS_HG_RADIO_ROUTE201          = 2B 00
MUS_HG_RADIO_TRAINER           = 2C 00
MUS_HG_RADIO_VARIETY           = 2D 00
MUS_HG_VS_KYOGRE_GROUDON       = 2E 00
MUS_HG_POKEWALKER              = 2F 00
MUS_HG_VS_ARCEUS               = 30 00
MUS_HG_HEAL                    = 31 00
MUS_HG_LEVEL_UP                = 32 00
MUS_HG_OBTAIN_ITEM             = 33 00
MUS_HG_OBTAIN_KEY_ITEM         = 34 00
MUS_HG_EVOLVED                 = 35 00
MUS_HG_OBTAIN_BADGE            = 36 00
MUS_HG_OBTAIN_TMHM             = 37 00
MUS_HG_OBTAIN_ACCESSORY        = 38 00
MUS_HG_MOVE_DELETED            = 39 00
MUS_HG_OBTAIN_BERRY            = 3A 00
MUS_HG_DEX_RATING_1            = 3B 00
MUS_HG_DEX_RATING_2            = 3C 00
MUS_HG_DEX_RATING_3            = 3D 00
MUS_HG_DEX_RATING_4            = 3E 00
MUS_HG_DEX_RATING_5            = 3F 00
MUS_HG_DEX_RATING_6            = 40 00
MUS_HG_OBTAIN_EGG              = 41 00
MUS_HG_BUG_CONTEST_1ST_PLACE   = 42 00
MUS_HG_BUG_CONTEST_2ND_PLACE   = 43 00
MUS_HG_BUG_CONTEST_3RD_PLACE   = 44 00
MUS_HG_CARD_FLIP               = 45 00
MUS_HG_CARD_FLIP_GAME_OVER     = 46 00
MUS_HG_POKEGEAR_REGISTERED     = 47 00
MUS_HG_LETS_GO_TOGETHER        = 48 00
MUS_HG_POKEATHLON_READY        = 49 00
MUS_HG_POKEATHLON_1ST_PLACE    = 4A 00
MUS_HG_RECEIVE_POKEMON         = 4B 00
MUS_HG_OBTAIN_ARCADE_POINTS    = 4C 00
MUS_HG_OBTAIN_CASTLE_POINTS    = 4D 00
MUS_HG_OBTAIN_B_POINTS         = 4E 00
MUS_HG_WIN_MINIGAME            = 4F 00

A_BUTTON = F8 00
B_BUTTON = F8 01
L_BUTTON = F8 02
R_BUTTON = F8 03
START_BUTTON = F8 04
SELECT_BUTTON = F8 05
DPAD_UP = F8 06
DPAD_DOWN = F8 07
DPAD_LEFT = F8 08
DPAD_RIGHT = F8 09
DPAD_UPDOWN = F8 0A
DPAD_LEFTRIGHT = F8 0B
DPAD_NONE = F8 0C

UP_ARROW_2 = F9 00
DOWN_ARROW_2 = F9 01
LEFT_ARROW_2 = F9 02
RIGHT_ARROW_2 = F9 03
PLUS = F9 04
LV_2 = F9 05
PP = F9 06
ID = F9 07
NO = F9 08
UNDERSCORE = F9 09
CIRCLE_1 = F9 0A
CIRCLE_2 = F9 0B
CIRCLE_3 = F9 0C
CIRCLE_4 = F9 0D
CIRCLE_5 = F9 0E
CIRCLE_6 = F9 0F
CIRCLE_7 = F9 10
CIRCLE_8 = F9 11
CIRCLE_9 = F9 12
ROUND_LEFT_PAREN = F9 13
ROUND_RIGHT_PAREN = F9 14
CIRCLE_DOT = F9 15
TRIANGLE = F9 16
BIG_MULT_X = F9 17

EMOJI_UNDERSCORE = F9 D0
EMOJI_PIPE = F9 D1
EMOJI_HIGHBAR = F9 D2
EMOJI_TILDE = F9 D3
EMOJI_LEFT_PAREN = F9 D4
EMOJI_RIGHT_PAREN = F9 D5
EMOJI_UNION = F9 D6 @ ⊂
EMOJI_GREATER_THAN = F9 D7
EMOJI_LEFT_EYE = F9 D8
EMOJI_RIGHT_EYE = F9 D9
EMOJI_AT = F9 DA
EMOJI_SEMICOLON = F9 DB
EMOJI_PLUS = F9 DC
EMOJI_MINUS = F9 DD
EMOJI_EQUALS = F9 DE
EMOJI_SPIRAL = F9 DF
EMOJI_TONGUE = F9 E0
EMOJI_TRIANGLE_OUTLINE = F9 E1
EMOJI_ACUTE = F9 E2
EMOJI_GRAVE = F9 E3
EMOJI_CIRCLE = F9 E4
EMOJI_TRIANGLE = F9 E5
EMOJI_SQUARE = F9 E6
EMOJI_HEART = F9 E7
EMOJI_MOON = F9 E8
EMOJI_NOTE = F9 E9
EMOJI_BALL = F9 EA
EMOJI_BOLT = F9 EB
EMOJI_LEAF = F9 EC
EMOJI_FIRE = F9 ED
EMOJI_WATER = F9 EE
EMOJI_LEFT_FIST = F9 EF
EMOJI_RIGHT_FIST = F9 F0
EMOJI_BIGWHEEL = F9 F1
EMOJI_SMALLWHEEL = F9 F2
EMOJI_SPHERE = F9 F3
EMOJI_IRRITATED = F9 F4
EMOJI_MISCHIEVOUS = F9 F5
EMOJI_HAPPY = F9 F6
EMOJI_ANGRY = F9 F7
EMOJI_SURPRISED = F9 F8
EMOJI_BIGSMILE = F9 F9
EMOJI_EVIL = F9 FA
EMOJI_TIRED = F9 FB
EMOJI_NEUTRAL = F9 FC
EMOJI_SHOCKED = F9 FD
EMOJI_BIGANGER = F9 FE

'\l' = FA @ scroll up window text
'\p' = FB @ new paragraph
'\n' = FE @ new line
